period_ts,total_inflow_musd,total_outflow_musd,reserve_change_musd,errors_omissions_musd,net_flow_signed_musd,net_flow_calc_musd,net_diff
2010-03-31,48858.0,41305.0,-6621.0,-857.0,14174.0,14174.0,0.0
2010-06-30,46353.0,42349.0,-5421.0,343.0,9425.0,9425.0,0.0
2010-09-30,56750.0,48243.0,-6955.0,-1496.0,15462.0,15462.0,0.0
2010-12-31,59224.0,53519.0,-11347.0,684.0,17052.0,17052.0,0.0
2011-03-31,59866.0,52083.0,-7666.0,-45.0,15449.0,15449.0,0.0
2011-06-30,69456.0,62161.0,-11876.0,20.0,19171.0,19171.0,0.0
2011-09-30,60090.0,69079.0,3960.0,4730.0,-12949.0,-12949.0,0.0
2011-12-31,64349.0,63930.0,3726.0,-8169.0,-3307.0,-3307.0,0.0
2012-03-31,64606.0,65705.0,1034.0,35.0,-2133.0,-2133.0,0.0
2012-06-30,64742.0,67896.0,2811.0,335.0,-5965.0,-5965.0,0.0
2012-09-30,62153.0,61681.0,-834.0,273.0,1306.0,1306.0,0.0
2012-12-31,73422.0,72338.0,-3225.0,-919.0,4309.0,4309.0,0.0
2013-03-31,63432.0,69302.0,6615.0,-644.0,-12485.0,-12485.0,0.0
2013-06-30,60419.0,69654.0,2477.0,-1048.0,-11712.0,-11712.0,0.0
2013-09-30,61750.0,65582.0,2645.0,1422.0,-6477.0,-6477.0,0.0
2013-12-31,68658.0,68938.0,-4412.0,84.0,4132.0,4132.0,0.0
2014-03-31,64535.0,63788.0,-2066.0,529.0,2813.0,2813.0,0.0
2014-06-30,70744.0,66768.0,-4297.0,-471.0,8273.0,8273.0,0.0
2014-09-30,70634.0,65677.0,-6475.0,-1059.0,11432.0,11432.0,0.0
2014-12-31,60743.0,65302.0,-2410.0,-1183.0,-2149.0,-2149.0,0.0
2015-03-31,60543.0,59386.0,-1303.0,5.0,2460.0,2460.0,0.0
2015-06-30,59771.0,62049.0,2925.0,-645.0,-5203.0,-5203.0,0.0
2015-09-30,48579.0,52974.0,4565.0,-404.0,-8960.0,-8960.0,0.0
2015-12-31,54629.0,51387.0,-5089.0,605.0,8331.0,8331.0,0.0
2016-03-31,47352.0,47544.0,287.0,-72.0,-479.0,-479.0,0.0
2016-06-30,57067.0,56308.0,-2162.0,625.0,2921.0,2921.0,0.0
2016-09-30,51417.0,52125.0,-5708.0,594.0,5000.0,5000.0,0.0
2016-12-31,39884.0,70511.0,-4505.0,-1453.0,-26122.0,-26122.0,0.0
2017-03-31,61435.0,56728.0,-4514.0,-120.0,9221.0,9221.0,0.0
2017-06-30,62012.0,61548.0,-739.0,-233.0,1203.0,1203.0,0.0
2017-09-30,67631.0,62257.0,-5359.0,-4.0,10733.0,10733.0,0.0
2017-12-31,66384.0,64751.0,-974.0,-592.0,2607.0,2607.0,0.0
2018-03-31,65886.0,68690.0,3855.0,-1111.0,-6659.0,-6659.0,0.0
2018-06-30,62817.0,67500.0,4309.0,363.0,-8992.0,-8992.0,0.0
2018-09-30,72366.0,76829.0,4386.0,-14.0,-8849.0,-8849.0,0.0
2018-12-31,77373.0,71863.0,-5418.0,-954.0,10928.0,10928.0,0.0
2019-03-31,70087.0,67087.0,-2419.0,-906.0,5419.0,5419.0,0.0
2019-06-30,63790.0,65256.0,1977.0,-521.0,-3443.0,-3443.0,0.0
2019-09-30,68274.0,68406.0,46.0,1.0,-178.0,-178.0,0.0
2019-12-31,70668.0,66841.0,-4279.0,-221.0,8106.0,8106.0,0.0
2020-03-31,54097.0,60135.0,8545.0,-2181.0,-14583.0,-14583.0,0.0
2020-06-30,54193.0,46240.0,-9245.0,1169.0,17198.0,17198.0,0.0
2020-09-30,50836.0,49870.0,-2053.0,193.0,3019.0,3019.0,0.0
2020-12-31,61181.0,61467.0,156.0,-73.0,-442.0,-442.0,0.0
2021-03-31,66218.0,61632.0,-4065.0,-633.0,8651.0,8651.0,0.0
2021-06-30,67895.0,68258.0,450.0,-112.0,-813.0,-813.0,0.0
2021-09-30,83414.0,71241.0,-10690.0,-1654.0,22863.0,22863.0,0.0
2021-12-31,74231.0,78524.0,844.0,-224.0,-5137.0,-5137.0,0.0
2022-03-31,81705.0,83129.0,1817.0,-528.0,-3241.0,-3241.0,0.0
2022-06-30,90565.0,87889.0,-2389.0,-202.0,5065.0,5065.0,0.0
2022-09-30,94218.0,95100.0,1304.0,-431.0,-2186.0,-2186.0,0.0
2022-12-31,89564.0,85447.0,-4730.0,626.0,8847.0,8847.0,0.0
2023-03-31,89289.0,82528.0,-6517.0,-448.0,13278.0,13278.0,0.0
2023-06-30,77245.0,83953.0,7372.0,-583.0,-14080.0,-14080.0,0.0
2023-09-30,82944.0,84632.0,1462.0,280.0,-3150.0,-3150.0,0.0
2023-12-31,96024.0,86725.0,-8617.0,-781.0,17916.0,17916.0,0.0
2024-03-31,84443.0,88837.0,5970.0,-1155.0,-10364.0,-10364.0,0.0
2024-06-30,86802.0,87586.0,557.0,-165.0,-1341.0,-1341.0,0.0
2024-09-30,104379.0,98704.0,-5867.0,-139.0,11542.0,11542.0,0.0
2024-12-31,98979.0,94579.0,-7870.0,-319.0,12270.0,12270.0,0.0
